Column1,Column2,Column3,Column4
会う,あう,to meet,1
青,あお,blue,2
青い,あおい,blue,3
赤,あか,red,4
赤い,あかい,red,5
明い,あかるい,bright,6
秋,あき,autumn,7
開く,あく,to open to become open ,8
開ける,あける,to open,9
上げる,あげる,to give,10
朝,あさ,morning,11
朝御飯,あさごはん,breakfast,12
あさって,あさって,day after tomorrow,13
足,あし,foot leg,14
明日,あした,tomorrow,15
,あそこ,over there,16
遊ぶ,あそぶ,to play to make a visit ,17
暖かい,あたたかい,warm,18
頭,あたま,head,19
新しい,あたらしい,new,20
あちら,あちら,there,21
暑い,あつい,hot,22
熱い,あつい,hot to the touch,1
厚い,あつい,kind deep thick,2
あっち,あっち,over there,3
後,あと,afterwards,4
あなた,あなた,you,5
兄,あに,(humble) older brother,6
姉,あね,(humble) older sister,7
あの,あの,that over there,8
あの,あの,um...,9
アパート,アパート,apartment,10
あびる,あびる,to bathe to shower,11
危ない,あぶない,dangerous,12
甘い,あまい,sweet,13
あまり,あまり,not very,14
雨,あめ,rain,15
飴,あめ,candy,16
洗う,あらう,to wash,17
ある,ある,to be to have,18
歩く,あるく,to walk,19
あれ,あれ,that,20
いい/よい,いい/よい,good,21
いいえ,いいえ,no,22
言う,いう,to say,1
家,いえ,house,2
いかが,いかが,how,3
行く,いく,to go,4
いくつ,いくつ,how many? how old?,5
いくら,いくら,how much?,6
池,いけ,pond,7
医者,いしゃ,medical doctor,8
いす,いす,chair,9
忙しい,いそがしい,busy irritated,10
痛い,いたい,painful,11
一,いち,one,12
一日,いちにち,first of the month,13
いちばん,いちばん,best first,14
いつ,いつ,when,15
五日,いつか,five days fifth day,16
一緒,いっしょ,together,17
五つ,いつつ,five,18
いつも,いつも,always,19
犬,いぬ,dog,20
今,いま,now,21
意味,いみ,meaning,22
妹,いもうと,younger sister,1
嫌,いや,unpleasant,2
入口,いりぐち,entrance,3
居る,いる,to be to have (used for people and animals,4
要る,いる,to need,5
入れる,いれる,to put in,6
色,いろ,colour,7
いろいろ,いろいろ,various,8
上,うえ,on top of,9
後ろ,うしろ,behind,10
薄い,うすい,thin weak,11
歌,うた,song,12
歌う,うたう,to sing,13
生まれる,うまれる,to be born,14
海,うみ,sea,15
売る,うる,to sell,16
煩い,うるさい,noisy annoying,17
上着,うわぎ,jacket,18
絵,え,picture,19
映画,えいが,movie,20
映画館,えいがかん,cinema,21
英語,えいご,English language,22
ええ,ええ,yes,1
駅,えき,station,2
エレベーター,エレベーター,elevator,3
鉛筆,えんぴつ,pencil,4
おいしい,おいしい,delicious,5
多い,おおい,many,6
大きい,おおきい,big,7
大きな,おおきな,big,8
大勢,おおぜい,great number of people,9
お母さん,おかあさん,(honorable) mother,10
お菓子,おかし,sweets candy,11
お金,おかね,money,12
起きる,おきる,to get up,13
置く,おく,to put,14
奥さん,おくさん,(honorable) wife,15
お酒,おさけ,alcohol rice wine,16
お皿,おさら,plate dish,17
伯父/叔父,おじいさん,grandfather male senior citizen,18
教える,おしえる,to teach to tell,19
伯父/叔父,おじさん,uncle middle aged gentleman,20
押す,おす,to push to stamp something ,21
遅い,おそい,late slow,22
お茶,おちゃ,green tea,1
お手洗い,おてあらい,bathroom,2
お父さん,おとうさん,(honorable) father,3
弟,おとうと,younger brother,4
男,おとこ,Man,5
男の子,おとこのこ,Boy,6
一昨日,おととい,day before yesterday,7
一昨年,おととし,year before last,8
大人,おとな,Adult,9
おなか,おなか,stomach,10
同じ,おなじ,same,11
お兄さん,おにいさん,(honorable) older brother,12
お姉さん,おねえさん,(honorable) older sister,13
おばあさん,おばあさん,grandmother female senior-citizen,14
伯母さん/叔母さん,おばさん,Aunt,15
お風呂,おふろ,Bath,16
